Identifiant,"Date (AAAA/MM/JJ)",Heure,Nom,"Région épicentrale",Choc,"X RGF93/L93","Y RGF93/L93","Latitude en WGS 84","Longitude en WGS 84","Intensité épicentrale","Qualité intensité épicentrale"
160001,1014/,,"ANGOUMOIS (ANGOULEME)",CHARENTES,,478075.43,6509611.52,45.65,0.15,7,"INFORMATION ISOLÉE"
240004,2000/02/23,"15 h 46 min 40 sec","RIBERACOIS (CHAMPAGNE-ET-FONTAINE)",AQUITAINE,,495317.86,6481234.51,45.40,0.38,5,SURE
640562,2000/03/13,"4 h 16 min 8 sec","PAYS BASQUE (LOHITZUN-OYHERCQ)","PYRENEES OCCIDENTALES",,382038.76,6250571.66,43.28,-0.92,5,SURE
570021,2000/06/14,"2 h 25 min 21 sec","BASSIN SARROIS (HAM-SOUS-VARSBERG)",LORRAINE,,962397.92,6904159.49,49.18,6.60,4.5,"ASSEZ SURE"
740155,2000/08/19,"8 h 37 min 26 sec","FAUCIGNY (MAGLAND)","ALPES SAVOYARDES",,982127.11,6556548.13,46.05,6.65,4.5,SURE
60170,2000/12/19,"14 h 20 min 50 sec","ALPES NICOISES (LA TRINITE)","ALPES MARITIMES",,1048807.89,6305978.60,43.77,7.33,4,SURE
60171,2000/12/20,"5 h 45 min 15 sec","ALPES NICOISES (CONTES)","ALPES MARITIMES",REPLIQUE,1049842.19,6311600.24,43.82,7.35,3.5,"ASSEZ SURE"
1130568,2001/02/25,"18 h 34 min 44 sec","MEDITERRANEE (S-E NICE)","ALPES MARITIMES",,1044447.28,6287191.03,43.60,7.27,5.5,INCERTAINE
570022,2001/03/16,"10 h 13 min 55 sec","BASSIN SARROIS (FORBACH)",LORRAINE,,980786.72,6901315.93,49.15,6.85,4.5,"ASSEZ SURE"
790045,2001/04/05,"17 h 26 min 59 sec","MELLOIS (SEPVRET)",POITOU,,464014.80,6582372.27,46.30,-0.07,5,SURE
850058,2001/06/08,"13 h 26 min 53 sec","BOCAGE VENDEEN (CHANTONNAY)","PAYS NANTAIS ET VENDEEN",,386673.93,6626645.90,46.67,-1.10,5,SURE
570023,2001/06/21,"19 h 55 min 49 sec","BASSIN SARROIS (ROSBRUCK)",LORRAINE,,980786.72,6901315.93,49.15,6.85,5.5,"ASSEZ SURE"
170117,2001/06/25,"6 h 49 min 18 sec","ILE D'OLERON",CHARENTES,,369450.92,6544152.34,45.92,-1.27,4,INCERTAINE
40207,2001/07/01,"19 h 37 min 25 sec","UBAYE (LARCHE)","ALPES PROVENCALES",,1006234.87,6379794.78,44.45,6.85,3.5,"INFORMATION ISOLÉE"
640563,2001/12/12,"12 h 10 min 52 sec","PAYS BASQUE (E. MENDIVE)","PYRENEES OCCIDENTALES",,371818.94,6236244.87,43.15,-1.03,4.5,"ASSEZ SURE"
120017,2002/02/18,"6 h 11 min 44 sec","LEVEZOU (N-W. MILLAU)",QUERCY-ROUERGUE,,695999.07,6337148.78,44.13,2.95,4.5,"ASSEZ SURE"
850060,2002/03/14,"13 h 32 min 47 sec","BOCAGE VENDEEN (BOURNEZEAU)","PAYS NANTAIS ET VENDEEN",,382564.67,6621300.25,46.62,-1.15,4,SURE
290040,2002/04/23,"6 h 45 min 38 sec","CORNOUAILLE (MELGVEN)",BRETAGNE,,185247.36,6779868.50,47.92,-3.90,4,SURE
880084,2007/08/19,"7 h 32 min 55 sec","PAYS FORESTIER SOUS-VOSGIEN (RAMBERVILLERS)",VOSGES,,974195.08,6808241.35,48.32,6.70,4,SURE
50103,2007/10/05,"6 h 5 min 22 sec","BRIANCONNAIS (N-O. BRIANCON)","ALPES DAUPHINOISES",,978248.72,6441496.54,45.02,6.53,3.5,ARBITRAIRE
850066,2007/10/28,"13 h 48 min 53 sec","MARAIS BRETON (S-O. NANTES)","PAYS NANTAIS ET VENDEEN",,339547.90,6649677.58,46.85,-1.73,3,"ASSEZ SURE"
650508,2007/11/15,"13 h 47 min 35 sec","BIGORRE (E. ARGELES-GAZOST)","PYRENEES CENTRALES",,452570.17,6217790.01,43.02,-0.03,5,"ASSEZ SURE"
640572,2007/11/24,"5 h 24 min 53 sec","PAYS BASQUE (S-E. SAINT-JEAN-PIED-DE-PORT)","PYRENEES OCCIDENTALES",,370368.98,6234463.70,43.13,-1.05,4,"ASSEZ SURE"
